Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
2,0.9277,3,0.7379833333333333
3,0.8402833333333334,4,0.6755166666666667
2,0.92695,3,0.7831166666666667
2,0.9190666666666667,3,0.7773666666666667
2,0.9193,3,0.71875
2,0.9183833333333333,3,0.69465
2,0.92395,3,0.7340166666666667
2,0.9075166666666666,3,0.6705333333333333
2,0.9180833333333334,3,0.7815333333333333
2,0.9037666666666667,3,0.6638833333333334
2,0.9214166666666667,3,0.6956666666666667
2,0.9069833333333334,3,0.7731166666666667
2,0.9251,3,0.7322
2,0.9112333333333333,3,0.7295833333333334
2,0.9062666666666667,3,0.7677666666666667
3,0.8192666666666667,4,0.5751
2,0.9255666666666666,3,0.7388166666666667
2,0.92625,3,0.7971166666666667
2,0.9049,3,0.7182833333333334
2,0.90765,3,0.6818833333333333
2,0.8822166666666666,3,0.6515
2,0.9296666666666666,3,0.77335
2,0.9167666666666666,3,0.7682833333333333
2,0.9246833333333333,3,0.7522333333333333
2,0.8735,3,0.6593666666666667
2,0.8868333333333334,3,0.7110666666666666
3,0.8304166666666667,4,0.6715833333333333
2,0.9268833333333333,3,0.7763333333333333
2,0.9412333333333334,3,0.7854
2,0.9142333333333333,3,0.7173333333333334
3,0.8148833333333333,4,0.61495
2,0.8907833333333334,3,0.6148666666666667
2,0.8967333333333334,3,0.687
2,0.8757333333333334,3,0.6072166666666666
3,0.8285,4,0.62435
3,0.8498666666666667,4,0.68595
2,0.91045,3,0.7385833333333334
2,0.9226666666666666,3,0.7839666666666667
3,0.85005,4,0.6546333333333333
2,0.91775,3,0.7025666666666667
3,0.8172,4,0.6001833333333333
2,0.9324,3,0.7943833333333333
2,0.9207333333333333,3,0.6924333333333333
2,0.8472,3,0.5967666666666667
2,0.9245833333333333,3,0.7403666666666666
2,0.9125833333333333,3,0.7009666666666666
3,0.8261333333333334,4,0.6200833333333333
2,0.9281166666666667,3,0.7935666666666666
2,0.9296333333333333,3,0.7846166666666666
2,0.92325,3,0.7752333333333333
3,0.81665,4,0.6071166666666666
2,0.8830833333333333,3,0.7048166666666666
2,0.89885,3,0.6151333333333333
2,0.9364666666666667,3,0.7750166666666667
2,0.9070666666666667,3,0.6932166666666667
2,0.9170333333333334,3,0.7694333333333333
3,0.8025166666666667,4,0.5825666666666667
2,0.8577666666666667,3,0.63515
3,0.8207333333333333,4,0.58505
2,0.8873333333333333,3,0.6793833333333333
2,0.8687166666666667,3,0.5583166666666667
2,0.9311,3,0.70695
3,0.8036166666666666,4,0.60635
2,0.9231833333333334,3,0.7908
2,0.8996,3,0.70905
2,0.9228333333333333,3,0.7561666666666667
3,0.82285,4,0.5764166666666667
3,0.8274333333333334,4,0.6415166666666666
2,0.91455,3,0.7485833333333334
2,0.91635,3,0.7480666666666667
2,0.9005666666666666,3,0.6677666666666666
2,0.9141333333333334,3,0.7486166666666667
3,0.81455,4,0.6336833333333334
2,0.9206166666666666,3,0.7276666666666667
2,0.9157833333333333,3,0.7897833333333333
2,0.897,3,0.7619666666666667
2,0.9037666666666667,3,0.7584333333333333
3,0.8389833333333333,4,0.6529666666666667
2,0.9036833333333333,3,0.7066833333333333
2,0.8978,3,0.6780166666666667
2,0.9281,3,0.72805
2,0.9022666666666667,3,0.7006
2,0.9100833333333334,3,0.7509833333333333
2,0.9146,3,0.6924
2,0.87005,3,0.5871166666666666
2,0.90295,3,0.6718833333333334
2,0.8853,3,0.7289166666666667
2,0.9088,3,0.77345
2,0.9087,3,0.71875
2,0.8849166666666667,3,0.7315
2,0.9291166666666667,3,0.7964166666666667
2,0.9075166666666666,3,0.7203666666666667
3,0.8169666666666666,4,0.6488
2,0.92485,3,0.7950666666666667
2,0.8434666666666667,3,0.4796166666666667
2,0.93015,3,0.7986333333333333
2,0.88735,3,0.68245
2,0.8868333333333334,3,0.7167
3,0.8183333333333334,4,0.6492833333333333
2,0.87545,3,0.6088166666666667
