Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
2,0.8991166666666667,3,0.7475666666666667
3,0.8431,4,0.6282
2,0.9065166666666666,3,0.7575833333333334
2,0.9173833333333333,3,0.7021333333333334
3,0.80105,4,0.5852833333333334
2,0.9093166666666667,3,0.7438666666666667
2,0.9226166666666666,3,0.7769166666666667
2,0.9211166666666667,3,0.7952166666666667
2,0.9277833333333333,3,0.7431166666666666
3,0.8022833333333333,4,0.6590666666666667
2,0.8727,3,0.7337666666666667
3,0.8224833333333333,4,0.5985166666666667
2,0.9307833333333333,3,0.7487666666666667
3,0.8452,4,0.6567166666666666
2,0.8413333333333334,3,0.564
2,0.8841833333333333,3,0.72595
2,0.92425,3,0.7439166666666667
2,0.9185166666666666,3,0.75605
3,0.8196833333333333,4,0.6223833333333333
2,0.9350833333333334,3,0.7945333333333333
2,0.9297666666666666,3,0.7753833333333333
3,0.85455,4,0.6830666666666667
2,0.9329833333333334,3,0.7849166666666667
2,0.9229666666666667,3,0.7478333333333333
3,0.8290166666666666,4,0.6419
3,0.8625333333333334,4,0.69085
3,0.8509666666666666,4,0.59275
2,0.9238666666666666,3,0.7724
3,0.8317833333333333,4,0.5717833333333333
2,0.9246333333333333,3,0.7857166666666666
2,0.9332833333333334,3,0.7462
3,0.8106333333333333,4,0.6316
3,0.8339166666666666,4,0.6610333333333334
3,0.8284666666666667,4,0.6773166666666667
2,0.9107,3,0.65575
2,0.9338166666666666,3,0.7504
3,0.86095,4,0.6561
3,0.8329333333333333,4,0.6230666666666667
3,0.8535833333333334,4,0.6790666666666667
2,0.9022333333333333,3,0.6306833333333334
3,0.8190333333333333,4,0.6311833333333333
2,0.9212333333333333,3,0.7598166666666667
3,0.8266166666666667,4,0.5592333333333334
2,0.9191833333333334,3,0.7717
2,0.8642666666666666,3,0.63845
2,0.8847666666666667,3,0.6488166666666667
3,0.8127833333333333,4,0.6542666666666667
2,0.9061333333333333,3,0.74865
2,0.9036333333333333,3,0.7609
2,0.9157333333333333,3,0.72505
3,0.8291333333333334,4,0.6472333333333333
2,0.9156,3,0.7717166666666667
2,0.9412,3,0.7983666666666667
3,0.83195,4,0.6292333333333333
3,0.84685,4,0.6701833333333334
3,0.8065166666666667,4,0.60405
2,0.9324333333333333,3,0.7608166666666667
2,0.9215666666666666,3,0.7540666666666667
2,0.8940333333333333,3,0.6337333333333334
2,0.9363,3,0.7912166666666667
2,0.9299833333333334,3,0.78945
2,0.9312833333333334,3,0.7484
3,0.8517166666666667,4,0.63825
2,0.9242,3,0.73005
3,0.87745,4,0.7445666666666667
3,0.8211166666666667,4,0.6239833333333333
2,0.9192333333333333,3,0.7906833333333333
2,0.9306666666666666,3,0.7579
2,0.8963,3,0.6165
3,0.8057833333333333,4,0.6083833333333334
2,0.90775,3,0.7333333333333333
3,0.8148333333333333,4,0.5939333333333333
2,0.8958166666666667,3,0.6653833333333333
2,0.8951833333333333,3,0.6807166666666666
2,0.9404166666666667,3,0.7993
3,0.8458333333333333,4,0.71325
2,0.9155333333333333,3,0.7249666666666666
2,0.9183166666666667,3,0.7339333333333333
2,0.9357,3,0.7736333333333333
2,0.9248333333333333,3,0.7935
2,0.9218666666666666,3,0.7695833333333333
2,0.93035,3,0.7896666666666666
3,0.84375,4,0.6047833333333333
2,0.8751333333333333,3,0.6774
2,0.9213833333333333,3,0.7626833333333334
3,0.82585,4,0.6191166666666666
3,0.82415,4,0.5662166666666667
2,0.9231833333333334,3,0.7823333333333333
2,0.9201833333333334,3,0.7392
2,0.9129,3,0.6292833333333333
3,0.81535,4,0.65785
3,0.80335,4,0.5931166666666666
2,0.93395,3,0.7933
2,0.9159,3,0.7431666666666666
3,0.8169166666666666,4,0.5924
2,0.9301666666666667,3,0.7679333333333334
2,0.91675,3,0.7579166666666667
3,0.8078333333333333,4,0.5616333333333333
2,0.9322,3,0.7506333333333334
3,0.8716833333333334,4,0.7141166666666666
